#{"t_start": 1787654605.559379, "env_id": "None"}
r,l,t
-17.719923,169,1.263248
-11.950195,46,1.28994
-49.053812,200,1.416616
-2.36344,200,1.543496
-36.537876,36,1.566025
-0.215379,200,1.699448
-9.959144,200,2.26901
-46.806138,168,2.369982
-14.943019,200,2.487512
-38.746922,200,2.625923
-1.400836,200,2.749025
-2.541663,200,2.867346
-67.425137,62,3.299223
-6.169968,128,3.374136
-6.539518,200,3.488768
-0.34264,200,3.601103
-30.131931,127,3.673544
-5.706017,200,3.787087
-69.31232,45,3.81303
-43.781546,200,4.323237
-11.634587,45,4.348639
-1.379145,200,4.459482
-15.042661,162,4.549722
-3.409899,200,4.662027
-11.249834,38,4.683654
-13.017015,166,4.784956
-35.845403,200,5.284628
-41.680626,45,5.314088
-12.686179,82,5.362028
-1.470001,200,5.481391
-16.050944,189,5.592574
-24.282052,200,5.716662
-32.387059,191,5.831804
-13.237187,84,6.272322
-4.813974,200,6.386917
-12.488664,98,6.444523
-15.648572,150,6.530582
-13.185866,151,6.617621
-58.345009,152,6.706121
-16.32508,136,6.784527
-14.848907,92,7.230559
-11.416799,36,7.251685
-13.228767,101,7.30808
-12.302912,191,7.414899
-34.984546,147,7.495759
-38.174622,107,7.555763
-2.258939,200,7.671057
-10.515106,200,7.783673
-12.650767,51,8.199097
-2.953743,200,8.314654
-17.078106,125,8.389347
-15.889113,122,8.45982
-13.830536,154,8.544584
-11.448921,71,8.584154
-14.974291,135,8.6632
-4.939044,200,9.164755
-5.22533,200,9.279647
-2.505059,200,9.396867
-12.775198,97,9.452901
-12.015862,62,9.488219
-16.383214,110,9.550484
-14.380079,73,9.59276
-4.238481,200,9.705228
-14.857252,87,10.156472
-12.732963,81,10.206118
-11.124542,44,10.234612
-30.520525,122,10.311545
-0.426074,200,10.43349
-13.45886,141,10.516451
-15.515106,135,10.597498
-10.640765,40,10.621894
-11.181356,46,10.650604
-2.617361,200,10.770992
-12.484313,119,11.230924
-35.683728,61,11.267268
-44.754108,200,11.382904
-33.015944,125,11.457185
-1.903581,200,11.577785
-11.382149,179,11.683947
-1.03651,200,12.20187
-0.835164,200,12.328336
1.507091,200,12.448618
-13.683718,138,12.529776
-18.38653,90,12.58189
-14.314888,115,12.656392
-13.291445,159,12.750862
-2.661483,200,13.264515
-1.723914,200,13.389455
-0.68326,200,13.509089
-13.162435,93,13.563456
-10.306852,146,13.650376
-1.030632,200,13.767497
-12.655776,58,14.187137
-55.682472,169,14.283209
-3.825392,200,14.399925
-3.178649,200,14.515018
-44.381168,37,14.536008
-76.359892,200,14.650673
-11.871,53,14.68107
-13.610826,123,14.752498
-0.271039,200,15.250501
-13.966117,82,15.298255
-31.249081,200,15.419905
-3.553194,200,15.544324
-1.939714,200,15.658347
-1.53176,200,16.206906
-7.023792,200,16.360323
-17.580615,84,16.419217
-2.980427,200,16.552357
-4.327573,200,16.721418
-16.963176,200,16.876194
-1.404504,200,17.40377
-4.172867,200,17.522762
-3.441322,200,17.644817
-5.855244,200,17.765357
-1.385892,200,17.881819
-13.128363,78,17.924452
-12.908371,93,18.360558
-2.229677,200,18.476104
-4.674353,200,18.586386
-1.474787,200,18.698173
-25.115006,200,18.812067
-8.319245,200,19.323506
-1.240265,200,19.468567
-2.090822,200,19.63746
-2.636079,200,19.798286
-2.365226,200,19.934203
-3.048984,200,20.07953
-1.303027,200,20.635819
-19.662943,99,20.693918
-5.409411,200,20.81404
-2.246796,200,20.932608
-3.808273,200,21.060976
-10.760149,45,21.087466
-1.905597,200,21.590982
-4.397984,200,21.719655
1.619856,200,21.839928
-2.680651,200,21.967405
-3.642212,200,22.096322
-7.687123,200,22.635384
-12.922391,194,22.783394
-4.759883,200,22.911959
-2.020583,200,23.041021
-2.160517,200,23.161335
-2.238457,200,23.687407
-2.55465,200,23.825959
-30.174629,200,23.945086
-2.367872,200,24.065978
-18.227944,200,24.188269
-8.074762,177,24.671682
